MUCH better than the West Hollywood property where Brand standards are slowly fading.,Hotel
Stay away from room service in my opinion....,Hotel
Room service was superb.,Hotel
"Stayed in a king suite for 11 nights and yes it cots us a bit but we were happy with the standard of room, the location and the friendliness of the staff.",Hotel
The location close to the 72nd Street subway station is great and the complimentary umbrellas on the drizzly days were greatly appreciated.,Hotel
This is the second time that members of the party have stayed at the Beacon and it will certainly be our hotel of choice for future visits.,Hotel
The staff are so accommodating and just love walking across the street to the Fairway supermarket with every imaginable goodies to eat (if you choose not to go out for every meal!),Hotel
This is a great property in Midtown.,Hotel
The Hyatt has come up with a modern hotel that is both comfortable and convenient.,Hotel
"As a hotel designer and someone who is very picky about hotels, I will definitely stay there again and I highly recommend it.",Hotel
"I have stayed at each of the US Andaz properties, and this one is the best of them all.",Hotel
This is the shining star here in the States.,Hotel
Really great for a longer stay...,Hotel
The waits were sometimes ridiculous.,Hotel
3 elevators serve the main tower with a rather limited number of rooms.,Hotel
"THis is a newer hotel, but there is no service elevator.",Hotel
"I was continually surprised after waiting for an elevator at how many stops we made for housekeeping to enter with carts, room service carts and trays, etc.",Hotel
How could Hyatt skip a service elevator on this new property?,Hotel
It really stinks at times.....its bad.,Hotel
"This one really surprised me, and i have traveled the world for more than 20 years staying in some of the finest hotels in the world.",Hotel
"Andaz is great, but it doesn't rank with many that i have had the pleasure of staying with.",Hotel
It was half the cost....almost.,Hotel
Honestly will have trouble staying at any other hotel in the NYC area.,Hotel
"For those who stay at this hotel, there's always a chance at a celebrity sighting.",Hotel
"I stayed at the Setai for 3 nights last week, as my company reserved a block for us.",Hotel
I have stayed at countless hotels in NYC and this is by far the best value.,Hotel
My boss is very hard to impress and he has already mentioned he would like to book again next year.,Hotel
My husband and I stayed at The Chatwal for 9 nights in April 2012.,Hotel
We booked our rooms via booking.com.,Hotel
It is just like the photos in the hotel website.,Hotel
We thank Mr Mullins for all his help.,Hotel
Overall a great 5-star boutique hotel experience in a very central NYC location.,Hotel
Subway is two blocks away to all of Manhattan.,Hotel
The hotel also has a great view of the Empire State Building in rooms facing 6th Ave.,Hotel
I was extremely satisfied with the my two night's stay and would stay again.,Hotel
I've stayed at 4 and 5 star hotels all over Manhattan.,Hotel
"Over the past year, however, I have returned each time to the Eventi.",Hotel
Stayed at this hotel for four nights in December 2012.,Hotel
"With regard the hotel itself, we were very happy with out choice.",Hotel
"The hotel has two lifts servicing all floor, and we never had to wait for a lift.",Hotel
Hotel was very very good.,Hotel
Only slight critique would be the night life tends to close around 11pm in the immediate area.,Hotel
We chose the San Carlos based on reviews in T.A and were not disappointed.,Hotel
Near to subway for added convenience.,Hotel
It is a great hotel to walk from/to as one gets the full flavor of 5th Avenue.,Hotel
This is one of the best and my favorite swanky hotel in New York City.,Hotel
If you've never stayed at the Sherry Netherland I suggest you try it.,Hotel
Loved the hotel.,Hotel
Lovely subtle green decor and room large for NYC standards.,Hotel
Next to the lift is an info desk where you could get a map of NYC.,Hotel
Good bottle shop next door to hotel as well.,Hotel
Our first stay on the upper west side and can't say enough good things about the Hotel Beacon.,Hotel
We stayed here based on reviews of family friendly hotels.,Hotel
"There weren't any special programs for kids, but we did see other families there.",Hotel
Parking garage is right around the corner -- very close.,Hotel
Very convenient to American Museum of Natural History -- easy to catch a cab or subway.,Hotel
We will definitely stay here again and very happy to recommend.,Hotel
"Great room, very big with huge bed!",Hotel
"Great location, just one block's walk from 72nd subway then 5 minute ride to Times Square and anywhere you want to go from there!",Hotel
"Very close to Central Park, check out Cafe Viand for sit down breakfast and Fairway and Levain Bakery for take away breakfast.",Hotel
Great all in all!,Hotel
We stayed at this property in October for a week.,Hotel
The market across the street was handy for breakfast items and snacks.,Hotel
"Only a couple short blocks to the 72nd Street subway.station, where you can pick up the 1,2 and 3 trains.",Hotel
Definitely recommended.,Hotel
Lovely little hotel with great views of the library.,Hotel
The room was very quiet.,Hotel
"I could not hear anyone from other rooms, the hallway or any street noise.",Hotel
"I also loved the overall vibe of the hotel; small, hip, clean, and friendly.",Hotel
